Date,Circular_No,Category,Subject,Direction,Stock_Index,Event_Type,VIX_Level,VIX_5D_Change_Pct,Nifty_10D_HVol,Nifty_10D_Return,BankNifty_5D_HVol
2025-06-16,NCL/CMPT/68546,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.08,2.65,10.61,0.01,11.64
2025-07-16,NCL/CMPT/69143,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL ,,Multiple Stocks - MWPL,,11.48,-3.85,6.2,-1.01,5.98
2025-08-18,NCL/CMPT/69688,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.36,2.74,9.33,0.27,9.4
2025-09-16,NCL/CMPT/70221,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,10.4,-2.71,3.79,1.99,4.06
2025-10-16,NCL/CMPT/70861,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,10.53,4.05,6.57,1.96,6.87
2025-11-24,NCL/CMPT/71435,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.63,15.61,6.76,1.93,7.01
2025-12-24,NCL/CMPT/71981,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,9.38,-4.67,7.42,1.63,5.69
2026-01-20,NCL/CMPT/72397,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,11.83,4.05,6.72,-2.53,7.66
2026-02-05,NCL/CMPT/72659,Other Margin Circular,Calendar Spread margin benefit for Single Stock Derivatives on expiry day,,See PDF,,12.25,-8.38,16.66,2.46,20.04
2026-02-18,NCL/CMPT/72847,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.67,9.7,10.6,-0.2,10.15
